GVF,PR,RE,NU
0.668194,0.548999,9.46057,6.50592
0.668194,0.548999,9.46057,6.50592
0.670127,0.548959,9.46223,6.48907
0.670127,0.548959,9.46223,6.48907
0.670686,0.551458,9.50436,6.49109
0.670686,0.551458,9.50436,6.49109
0.669837,0.558909,9.64092,6.51714
0.669837,0.558909,9.64092,6.51714
0.671598,0.570747,9.88229,6.53053
0.671598,0.570747,9.88229,6.53053
0.67455,0.583742,10.1535,6.53769
0.67455,0.583742,10.1535,6.53769
0.676703,0.596548,10.409,6.55003
0.676703,0.596548,10.409,6.55003
0.679564,0.610552,10.6987,6.55979
0.679564,0.610552,10.6987,6.55979
0.682808,0.624281,10.9912,6.56337
0.682808,0.624281,10.9912,6.56337
0.685286,0.634179,11.1919,6.56247
0.685286,0.634179,11.1919,6.56247
0.687884,0.642424,11.3582,6.5553
0.687884,0.642424,11.3582,6.5553
0.689562,0.649422,11.4983,6.55691
0.689562,0.649422,11.4983,6.55691
0.691041,0.654464,11.5973,6.55547
0.691041,0.654464,11.5973,6.55547
0.690817,0.657932,11.6609,6.56631
0.690817,0.657932,11.6609,6.56631
0.691136,0.66002,11.6943,6.56915
0.691136,0.66002,11.6943,6.56915
0.691282,0.6617,11.7085,6.57563
0.691282,0.6617,11.7085,6.57563
0.69066,0.663347,11.72,6.59034
0.69066,0.663347,11.72,6.59034
0.690583,0.667854,11.7968,6.60453
0.690583,0.667854,11.7968,6.60453
0.691614,0.676434,11.9657,6.61596
0.691614,0.676434,11.9657,6.61596
0.693421,0.687182,12.1812,6.62394
0.693421,0.687182,12.1812,6.62394
0.695034,0.699836,12.4301,6.63803
0.695034,0.699836,12.4301,6.63803
0.695935,0.712526,12.6738,6.65456
0.695935,0.712526,12.6738,6.65456
0.697333,0.722997,12.8822,6.66103
0.697333,0.722997,12.8822,6.66103
0.698001,0.731352,13.0378,6.67125
0.698001,0.731352,13.0378,6.67125
0.697943,0.73782,13.1553,6.68436
0.697943,0.73782,13.1553,6.68436
0.69786,0.743312,13.2547,6.69617
0.69786,0.743312,13.2547,6.69617
0.698175,0.748544,13.3548,6.70522
0.698175,0.748544,13.3548,6.70522
0.69941,0.753941,13.474,6.70774
0.69941,0.753941,13.474,6.70774
0.700906,0.758572,13.5811,6.70604
0.700906,0.758572,13.5811,6.70604
0.702617,0.76212,13.668,6.69999
0.702617,0.76212,13.668,6.69999
0.704938,0.765559,13.7589,6.68786
0.704938,0.765559,13.7589,6.68786
0.70678,0.768449,13.8434,6.67907
0.70678,0.768449,13.8434,6.67907
0.708492,0.770689,13.9225,6.66659
0.708492,0.770689,13.9225,6.66659
0.710775,0.770722,13.9846,6.64321
0.710775,0.770722,13.9846,6.64321
0.712024,0.7676,13.9779,6.62495
0.712024,0.7676,13.9779,6.62495
0.712942,0.761259,13.8968,6.60309
0.712942,0.761259,13.8968,6.60309
